"Method";"Mean_RD";"Nb_itt";"Coverage_rate";"MC_CR";"CI_width";"P_025_CIW";"P_975_CIW";"MC_CIW";"Bias_Mean";"MC_bias";"Bias_relative_Mean";"MC_RelativeBias";"Emp_SE";"ModSE";"RE_SE";"MC_RESE";"Scenario";"k";"m";"icc";"nb_cov_indiv";"nb_cov_clus";"Prevalence";"Convergence_rate"
"CL_GC_both";0,0952541634890726;1000;93,3;0,00790638982089803;0,338796026593499;0,273225033457122;0,408007179053265;0,00106309440610046;-0,00474583651092734;0,00275786575466313;-4,74583651092734;0,0289916145417888;0,0872113726571463;0,0841597197181644;-3,49914563434165;2,15891740184008;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_indv";0,0952898386733327;1000;93,3;0,00790638982089803;0,355403566404917;0,283586462090927;0,433571810076148;0,0012060032426647;-0,00471016132666728;0,0028090661710031;-4,71016132666728;0,0295168215165542;0,0888304719849782;0,0883580031958128;-0,53187693210196;2,22530549070214;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,0947327815784592;1000;93;0,00806845710157772;0,350163351596207;0,272035393621322;0,44297763890413;0,00139883651143014;-0,00526721842154081;0,00287232197130197;-5,26721842154081;0,0303660158836458;0,0908307960265903;0,0872460445864909;-3,9466255905651;2,14891713357172;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_indv";0,08842465593763;1000;94,6;0,00714730718522718;0,327731023215622;0,277010429360619;0,383429822509913;0,000873072967142517;-0,01157534406237;0,0026738016257713;-11,57534406237;0,03045916052172;0,0845530314889847;0,0812318925199296;-3,92787687273851;2,14932109219243;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_both";0,0887123639089156;1000;93,1;0,00801492358042171;0,324639894259874;0,267234033302695;0,391028451307563;0,00103941513925825;-0,0112876360910844;0,00276453596961817;-11,2876360910844;0,0313668802694877;0,0874223033745546;0,0805915109172104;-7,81355808949361;2,06239426491978;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_Balzer";0,0936574943504817;1000;93,2;0,00796090447122687;0,326626417592747;0,271712327548489;0,384619678468296;0,000929415131368157;-0,00634250564951822;0,00274545983061278;-6,34250564951822;0,0293824330282846;0,0868190628923644;0,0809982476331544;-6,7045359225156;2,08720280425682;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_indv_Balzer";0,0932193248196072;1000;94,4;0,00727076337120113;0,332332565462328;0,279980618735534;0,388058170600596;0,000889212680571326;-0,00678067518039274;0,00270631552688451;-6,78067518039274;0,0291108570261406;0,0855812113203369;0,0823749852696075;-3,74641349574765;2,15338119298556;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_UN";0,112304787922869;1000;94,9;0,00695693898205238;0,289048789606092;0,257365054026183;0,313374971117807;0,000437734455825595;0,0123047879228689;0,0022462896379808;12,3047879228689;0,0203770703062613;0,071033915404544;0,0714731660517056;0,618367500453876;2,25102271203815;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_TSP_Gauss";0,0871451817147653;1000;95,2;0,00675988165576884;0,268223457443804;0,236180644751094;0,294393461186477;0,000458635473476165;-0,0128548182852347;0,00208118737073882;-12,8548182852347;0,0242256786170543;0,0658129232911194;0,0662234812930227;0,623825810148615;2,25114485088872;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_TSP_Bin";0,0871598833743272;1000;95,1;0,00682634602111555;0,268167832066052;0,235901707961929;0,294350863626284;0,000460591905014365;-0,0128401166256728;0,002080761829977;-12,8401166256728;0,0242161138298723;0,0657994665106736;0,0662106122087056;0,62484655246462;2,25116770088138;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_GC_indv";0,0985365676588458;1000;95;0,00689202437604511;0,277662456784057;0,238416168593818;0,306119732648743;0,000537792368190903;-0,00146343234115415;0,00215110129626858;-1,46343234115415;0,0218353968783894;0,0680237957394938;0,0687653907008348;1,09019932404399;2,26157924616285;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_GC_both";0,0986876864889868;995;94,6733668341709;0,0071191601877507;0,274925154331332;0,229660646360116;0,322864646602701;0,000730833222417772;-0,00131231351101319;0,0022084441570765;-1,31231351101319;0,0223819833394027;0,0696623245876183;0,0681985122415553;-2,10129701345499;2,19568341148401;6;20;150;0,2;3;2;"0.5/0.4";99,5
"CL_GC_indep_indv";0,0970985810343886;1000;95,3;0,00669260786241059;0,312095056384321;0,257686148524298;0,357388334160651;0,000751951530861294;-0,00290141896561141;0,00232800279469661;-2,90141896561142;0,0239932292857252;0,0736179123047866;0,0773718571622661;5,09922753845249;2,35127219694708;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,0968967872404403;1000;94,2;0,00739161687318817;0,304288910416505;0,241384008031788;0,365646648227277;0,00097514234600603;-0,00310321275955962;0,00237899389156082;-3,10321275955962;0,0245714577934044;0,0752303923695981;0,0756037072314095;0,496228784740782;2,24829828123825;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_TMLE_indv";0,0900694438259352;1000;94,7;0,00708456067798138;0,266233423590861;0,237197114591834;0,288169762936162;0,000407548820241606;-0,00993055617406479;0,0021167893237424;-9,9305561740648;0,0237108329735012;0,0669387558975352;0,0658332431276189;-1,65152870723886;2,2002404928169;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_TMLE_both";0,0904256468925514;1000;93,9;0,00756828910652864;0,26426276829926;0,22662119753677;0,300266290933697;0,000570531694171852;-0,00957435310744853;0,00218356471414813;-9,57435310744853;0,0243368824561148;0,0690503791508259;0,065421378651332;-5,25558374062952;2,11961236794587;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_Balzer";0,0938221790185219;1000;94,3;0,00733150734842434;0,264762468853316;0,230533049198692;0,289319307813571;0,000466104918961813;-0,0061778209814781;0,00216585237153953;-6,1778209814781;0,0231672513452477;0,0684902656974215;0,0654941678628284;-4,37448709547922;2,13932317953826;6;20;150;0,2;3;2;"0.5/0.4";100
